participant_id,type,display_name,country_id
biathlon_world_team_Russia_Ivan_Tcherezov__Nikolay_Kruglov_Jr__Dmitri_Yaroshenko__Maxim_Chudov_RUS,team,Russia,RUS
biathlon_world_team_Norway_Emil_Hegle_Svendsen__Rune_Brattsveen__Halvard_Hanevold__Ole_Einar_Bjørndalen_NOR,team,Norway,NOR
biathlon_world_team_Germany_Michael_Rösch__Alexander_Wolf__Andreas_Birnbacher__Michael_Greis_GER,team,Germany,GER
biathlon_world_team_Germany_Sabrina_Buchholz__Magdalena_Neuner__Andreas_Birnbacher__Michael_Greis_GER,team,Germany,GER
biathlon_world_team_Belarus_Liudmila_Kalinchik__Darya_Domracheva__Rustam_Valiullin__Sergey_Novikov_BLR,team,Belarus,BLR
biathlon_world_team_Russia_Svetlana_Sleptsova__Oksana_Neupokoeva__Nikolay_Kruglov_Jr__Dmitri_Yaroshenko_RUS,team,Russia,RUS
biathlon_world_athlete_Ekaterina_Iourieva_RUS,athlete,Ekaterina Iourieva,RUS
biathlon_world_athlete_Oksana_Khvostenko_UKR,athlete,Oksana Khvostenko,UKR
biathlon_world_athlete_Tora_Berger_NOR,athlete,Tora Berger,NOR
biathlon_world_team_Ukraine_Oksana_Yakovleva__Vita_Semerenko__Valentyna_Semerenko__Oksana_Khvostenko_UKR,team,Ukraine,UKR
biathlon_world_team_France_Delphine_Peretto__Marie-Laure_Brunet__Sylvie_Becaert__Sandrine_Bailly_FRA,team,France,FRA
biathlon_world_athlete_Christoph_Stephan_GER,athlete,Christoph Stephan,GER
biathlon_world_athlete_Jakov_Fak_CRO,athlete,Jakov Fak,CRO
biathlon_world_athlete_Dominik_Landertinger_AUT,athlete,Dominik Landertinger,AUT
biathlon_world_athlete_Christoph_Sumann_AUT,athlete,Christoph Sumann,AUT
biathlon_world_athlete_Ivan_Tcherezov_RUS,athlete,Ivan Tcherezov,RUS
biathlon_world_athlete_Alexander_Os_NOR,athlete,Alexander Os,NOR
biathlon_world_team_Norway_Emil_Hegle_Svendsen__Lars_Berger__Halvard_Hanevold__Ole_Einar_Bjørndalen_NOR,team,Norway,NOR
biathlon_world_team_Austria_Daniel_Mesotitsch__Simon_Eder__Dominik_Landertinger__Christoph_Sumann_AUT,team,Austria,AUT
biathlon_world_team_Germany_Michael_Rösch__Christoph_Stephan__Arnd_Peiffer__Michael_Greis_GER,team,Germany,GER
biathlon_world_team_France_Marie-Laure_Brunet__Sylvie_Becaert__Vincent_Defrasne__Simon_Fourcade_FRA,team,France,FRA
biathlon_world_team_Sweden_Helena_Jonsson__Anna_Carin_Olofsson-Zidek__David_Ekholm__Carl_Johan_Bergman_SWE,team,Sweden,SWE
biathlon_world_team_Germany_Andrea_Henkel__Simone_Hauswald__Arnd_Peiffer__Michael_Greis_GER,team,Germany,GER
biathlon_world_athlete_Teja_Gregorin_SLO,athlete,Teja Gregorin,SLO
biathlon_world_athlete_Anastasiya_Kuzmina_SVK,athlete,Anastasiya Kuzmina,SVK
biathlon_world_athlete_Helena_Jonsson_SWE,athlete,Helena Jonsson,SWE
biathlon_world_team_Russia_Svetlana_Sleptsova__Anna_Boulygina__Olga_Medvedtseva__Olga_Zaitseva_RUS,team,Russia,RUS
biathlon_world_team_Germany_Martina_Beck__Magdalena_Neuner__Andrea_Henkel__Kati_Wilhelm_GER,team,Germany,GER
biathlon_world_team_France_Marie-Laure_Brunet__Sylvie_Becaert__Marie_Dorin__Sandrine_Bailly_FRA,team,France,FRA
biathlon_world_athlete_Simone_Hauswald_GER,athlete,Simone Hauswald,GER
biathlon_world_team_Germany_Simone_Hauswald__Magdalena_Neuner__Simon_Schempp__Arnd_Peiffer_GER,team,Germany,GER
