event_id,participant_id,rank,medal,score_raw,points_awarded
biathlon_world_championships_2021_mixed_single-mixed-relay,biathlon_world_team_Norway_Johannes_Thingnes_Bø__Tiril_Eckhoff_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Mixed Single mixed relay;event_label=Single mixed relay;team_members=Johannes Thingnes Bø / Tiril Eckhoff;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2021_mixed_single-mixed-relay,biathlon_world_team_Sweden_Sebastian_Samuelsson__Hanna_Öberg_SWE,3,bronze,discipline=Biathlon;event=Biathlon World Championships Mixed Single mixed relay;event_label=Single mixed relay;team_members=Sebastian Samuelsson / Hanna Öberg;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2021_women_individual-15-km,biathlon_world_athlete_Markéta_Davidová_CZE,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Individual (15 km);event_label=Individual (15 km);team_members=;entry_country=CZE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2021_women_individual-15-km,biathlon_world_athlete_Hanna_Öberg_SWE,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Individual (15 km);event_label=Individual (15 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2021_women_individual-15-km,biathlon_world_athlete_Ingrid_Landmark_Tandrevold_NOR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Individual (15 km);event_label=Individual (15 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2021_women_mass-start-12-5-km,biathlon_world_athlete_Lisa_Theresa_Hauser_AUT,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Mass start (12.5 km);event_label=Mass start (12.5 km);team_members=;entry_country=AUT;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2021_women_mass-start-12-5-km,biathlon_world_athlete_Ingrid_Landmark_Tandrevold_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Mass start (12.5 km);event_label=Mass start (12.5 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2021_women_mass-start-12-5-km,biathlon_world_athlete_Tiril_Eckhoff_NOR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Mass start (12.5 km);event_label=Mass start (12.5 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2021_women_pursuit-10-km,biathlon_world_athlete_Tiril_Eckhoff_NOR,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Pursuit (10 km);event_label=Pursuit (10 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2021_women_pursuit-10-km,biathlon_world_athlete_Lisa_Theresa_Hauser_AUT,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Pursuit (10 km);event_label=Pursuit (10 km);team_members=;entry_country=AUT;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2021_women_pursuit-10-km,biathlon_world_athlete_Anaïs_Chevalier-Bouchet_FRA,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Pursuit (10 km);event_label=Pursuit (10 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2021_women_relay-4-6-km,biathlon_world_team_Norway_Ingrid_Landmark_Tandrevold__Tiril_Eckhoff__Ida_Lien__Marte_Olsbu_Røiseland_NOR,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Relay (4 × 6 km);event_label=Relay (4 × 6 km);team_members=Ingrid Landmark Tandrevold / Tiril Eckhoff / Ida Lien / Marte Olsbu Røiseland;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2021_women_relay-4-6-km,biathlon_world_team_Germany_Vanessa_Hinz__Janina_Hettich__Denise_Herrmann__Franziska_Preuß_GER,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Relay (4 × 6 km);event_label=Relay (4 × 6 km);team_members=Vanessa Hinz / Janina Hettich / Denise Herrmann / Franziska Preuß;entry_country=GER;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2021_women_relay-4-6-km,biathlon_world_team_Ukraine_Anastasiya_Merkushyna__Yuliia_Dzhima__Darya_Blashko__Olena_Pidhrushna_UKR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Relay (4 × 6 km);event_label=Relay (4 × 6 km);team_members=Anastasiya Merkushyna / Yuliia Dzhima / Darya Blashko / Olena Pidhrushna;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2021_women_sprint-7-5-km,biathlon_world_athlete_Tiril_Eckhoff_NOR,1,gold,discipline=Biathlon;event=Biathlon World Championships Women Sprint (7.5 km);event_label=Sprint (7.5 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2021_women_sprint-7-5-km,biathlon_world_athlete_Anaïs_Chevalier-Bouchet_FRA,2,silver,discipline=Biathlon;event=Biathlon World Championships Women Sprint (7.5 km);event_label=Sprint (7.5 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2021_women_sprint-7-5-km,biathlon_world_athlete_Hanna_Sola_BLR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Women Sprint (7.5 km);event_label=Sprint (7.5 km);team_members=;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2023_men_individual-20-km,biathlon_world_athlete_Johannes_Thingnes_Bø_NOR,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Individual (20 km);event_label=Individual (20 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2023_men_individual-20-km,biathlon_world_athlete_Sturla_Holm_Lægreid_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Individual (20 km);event_label=Individual (20 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2023_men_individual-20-km,biathlon_world_athlete_Sebastian_Samuelsson_SWE,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Individual (20 km);event_label=Individual (20 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2023_men_mass-start-15-km,biathlon_world_athlete_Sebastian_Samuelsson_SWE,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Mass start (15 km);event_label=Mass start (15 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2023_men_mass-start-15-km,biathlon_world_athlete_Martin_Ponsiluoma_SWE,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Mass start (15 km);event_label=Mass start (15 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2023_men_mass-start-15-km,biathlon_world_athlete_Johannes_Thingnes_Bø_NOR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Mass start (15 km);event_label=Mass start (15 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2023_men_pursuit-12-5-km,biathlon_world_athlete_Johannes_Thingnes_Bø_NOR,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Pursuit (12.5 km);event_label=Pursuit (12.5 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2023_men_pursuit-12-5-km,biathlon_world_athlete_Sturla_Holm_Lægreid_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Pursuit (12.5 km);event_label=Pursuit (12.5 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2023_men_pursuit-12-5-km,biathlon_world_athlete_Sebastian_Samuelsson_SWE,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Pursuit (12.5 km);event_label=Pursuit (12.5 km);team_members=;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2023_men_relay-4-7-5-km,biathlon_world_team_France_Antonin_Guigonnat__Fabien_Claude__Émilien_Jacquelin__Quentin_Fillon_Maillet_FRA,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Relay (4 × 7.5 km);event_label=Relay (4 × 7.5 km);team_members=Antonin Guigonnat / Fabien Claude / Émilien Jacquelin / Quentin Fillon Maillet;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2023_men_relay-4-7-5-km,biathlon_world_team_Norway_Vetle_Sjåstad_Christiansen__Tarjei_Bø__Sturla_Holm_Lægreid__Johannes_Thingnes_Bø_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Relay (4 × 7.5 km);event_label=Relay (4 × 7.5 km);team_members=Vetle Sjåstad Christiansen / Tarjei Bø / Sturla Holm Lægreid / Johannes Thingnes Bø;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2023_men_relay-4-7-5-km,biathlon_world_team_Sweden_Peppe_Femling__Martin_Ponsiluoma__Jesper_Nelin__Sebastian_Samuelsson_SWE,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Relay (4 × 7.5 km);event_label=Relay (4 × 7.5 km);team_members=Peppe Femling / Martin Ponsiluoma / Jesper Nelin / Sebastian Samuelsson;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
