event_id,participant_id,rank,medal,score_raw,points_awarded
world_aquatics_championships_2001_men_swimming-200-m-breaststroke,athlete_Maxim_Podoprigora_AUT,2,silver,discipline=swimming-200-m-breaststroke;source_discipline=swimming;source_event=Men's 200 m breaststroke;performance=2:11.09;country=AUT,2.0
world_aquatics_championships_2001_men_swimming-200-m-butterfly,athlete_Anatoly_Polyakov_RUS,3,bronze,discipline=swimming-200-m-butterfly;source_discipline=swimming;source_event=Men's 200 m butterfly;performance=1:55.68;country=RUS,1.0
world_aquatics_championships_2001_men_swimming-200-m-butterfly,athlete_Michael_Phelps_USA,1,gold,discipline=swimming-200-m-butterfly;source_discipline=swimming;source_event=Men's 200 m butterfly;performance=1:54.58 WR;country=USA,3.0
world_aquatics_championships_2001_men_swimming-200-m-butterfly,athlete_Tom_Malchow_USA,2,silver,discipline=swimming-200-m-butterfly;source_discipline=swimming;source_event=Men's 200 m butterfly;performance=1:55.28;country=USA,2.0
world_aquatics_championships_2001_men_swimming-200-m-freestyle,athlete_Ian_Thorpe_AUS,1,gold,discipline=swimming-200-m-freestyle;source_discipline=swimming;source_event=Men's 200 m freestyle;performance=1:44.06 WR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-200-m-freestyle,athlete_Klete_Keller_USA,3,bronze,discipline=swimming-200-m-freestyle;source_discipline=swimming;source_event=Men's 200 m freestyle;performance=1:47.10;country=USA,1.0
world_aquatics_championships_2001_men_swimming-200-m-freestyle,athlete_Pieter_van_den_Hoogenband_NED,2,silver,discipline=swimming-200-m-freestyle;source_discipline=swimming;source_event=Men's 200 m freestyle;performance=1:45.81;country=NED,2.0
world_aquatics_championships_2001_men_swimming-200-m-individual-medley,athlete_Justin_Norris_AUS,3,bronze,discipline=swimming-200-m-individual-medley;source_discipline=swimming;source_event=Men's 200 m I.M.;performance=2:00.91;country=AUS,1.0
world_aquatics_championships_2001_men_swimming-200-m-individual-medley,athlete_Massimiliano_Rosolino_ITA,1,gold,discipline=swimming-200-m-individual-medley;source_discipline=swimming;source_event=Men's 200 m I.M.;performance=1:59.71;country=ITA,3.0
world_aquatics_championships_2001_men_swimming-200-m-individual-medley,athlete_Tom_Wilkens_USA,2,silver,discipline=swimming-200-m-individual-medley;source_discipline=swimming;source_event=Men's 200 m I.M.;performance=2:00.73;country=USA,2.0
world_aquatics_championships_2001_men_swimming-4-x-100-m-freestyle-relay,AUS,1,gold,discipline=swimming-4-x-100-m-freestyle-relay;source_discipline=swimming;source_event=Men's 4 × 100 m Freestyle Relay;performance=3:14.10 CR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-4-x-100-m-freestyle-relay,GER,3,bronze,discipline=swimming-4-x-100-m-freestyle-relay;source_discipline=swimming;source_event=Men's 4 × 100 m Freestyle Relay;performance=3:17.52;country=GER,1.0
world_aquatics_championships_2001_men_swimming-4-x-100-m-freestyle-relay,NED,2,silver,discipline=swimming-4-x-100-m-freestyle-relay;source_discipline=swimming;source_event=Men's 4 × 100 m Freestyle Relay;performance=3:14.56 ER;country=NED,2.0
world_aquatics_championships_2001_men_swimming-4-x-100-m-medley-relay,AUS,1,gold,discipline=swimming-4-x-100-m-medley-relay;source_discipline=swimming;source_event=Men's 4 × 100 m medley relay;performance=3:35.35 CR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-4-x-100-m-medley-relay,GER,2,silver,discipline=swimming-4-x-100-m-medley-relay;source_discipline=swimming;source_event=Men's 4 × 100 m medley relay;performance=3:36.34;country=GER,2.0
world_aquatics_championships_2001_men_swimming-4-x-100-m-medley-relay,RUS,3,bronze,discipline=swimming-4-x-100-m-medley-relay;source_discipline=swimming;source_event=Men's 4 × 100 m medley relay;performance=3:37.77;country=RUS,1.0
world_aquatics_championships_2001_men_swimming-4-x-200-m-freestyle-relay,AUS,1,gold,discipline=swimming-4-x-200-m-freestyle-relay;source_discipline=swimming;source_event=Men's 4 × 200 m Freestyle Relay;performance=7:04.66 WR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-4-x-200-m-freestyle-relay,ITA,2,silver,discipline=swimming-4-x-200-m-freestyle-relay;source_discipline=swimming;source_event=Men's 4 × 200 m Freestyle Relay;performance=7:10.86 ER;country=ITA,2.0
world_aquatics_championships_2001_men_swimming-4-x-200-m-freestyle-relay,USA,3,bronze,discipline=swimming-4-x-200-m-freestyle-relay;source_discipline=swimming;source_event=Men's 4 × 200 m Freestyle Relay;performance=7:13.69;country=USA,1.0
world_aquatics_championships_2001_men_swimming-400-m-freestyle,athlete_Emiliano_Brembilla_ITA,3,bronze,discipline=swimming-400-m-freestyle;source_discipline=swimming;source_event=Men's 400 m freestyle;performance=3:45.11;country=ITA,1.0
