competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,event_label,rank,medal,participant_type,participant_name,country_name,country_code,source_text,source_url
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kata,World Karate Championships Women Individual kata,women,Individual kata,1,gold,athlete,Atsuko Wakai,Japan,JPN,Atsuko Wakai Japan,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kata,World Karate Championships Women Individual kata,women,Individual kata,2,silver,athlete,Myriam Szkudlarek,France,FRA,Myriam Szkudlarek France,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kata,World Karate Championships Women Individual kata,women,Individual kata,3,bronze,athlete,Marcela Remiášová,Slovakia,SVK,Marcela Remiášová Slovakia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kata,World Karate Championships Women Individual kata,women,Individual kata,3,bronze,athlete,Yohana Sánchez,Venezuela,VEN,Yohana Sánchez Venezuela,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-53-kg,World Karate Championships Women Kumite −53 kg,women,Kumite −53 kg,1,gold,athlete,Kora Knühmann,Germany,DEU,Kora Knühmann Germany,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-53-kg,World Karate Championships Women Kumite −53 kg,women,Kumite −53 kg,2,silver,athlete,Michela Nanni,Italy,ITA,Michela Nanni Italy,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-53-kg,World Karate Championships Women Kumite −53 kg,women,Kumite −53 kg,3,bronze,athlete,Nadia Mecheri,France,FRA,Nadia Mecheri France,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-53-kg,World Karate Championships Women Kumite −53 kg,women,Kumite −53 kg,3,bronze,athlete,Sandu Anghel,Romania,ROU,Sandu Anghel Romania,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-60-kg,World Karate Championships Women Kumite −60 kg,women,Kumite −60 kg,1,gold,athlete,Nathalie Leroy,France,FRA,Nathalie Leroy France,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-60-kg,World Karate Championships Women Kumite −60 kg,women,Kumite −60 kg,2,silver,athlete,Ibtissem Hannachi,Tunisia,TUN,Ibtissem Hannachi Tunisia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-60-kg,World Karate Championships Women Kumite −60 kg,women,Kumite −60 kg,3,bronze,athlete,Alexandra Witteborn,Germany,DEU,Alexandra Witteborn Germany,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-60-kg,World Karate Championships Women Kumite −60 kg,women,Kumite −60 kg,3,bronze,athlete,Yoko Takahashi,Japan,JPN,Yoko Takahashi Japan,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Women Kumite open,women,Kumite open,1,gold,athlete,Snežana Perić,Yugoslavia,YUG,Snežana Perić Yugoslavia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Women Kumite open,women,Kumite open,2,silver,athlete,Tessy Scholtes,Luxembourg,LUX,Tessy Scholtes Luxembourg,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Women Kumite open,women,Kumite open,3,bronze,athlete,Roberta Minet,Italy,ITA,Roberta Minet Italy,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-open,World Karate Championships Women Kumite open,women,Kumite open,3,bronze,athlete,Premila Supramaniam,Malaysia,MYS,Premila Supramaniam Malaysia,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus60-kg,World Karate Championships Women Kumite +60 kg,women,Kumite +60 kg,1,gold,athlete,Elisa Au,United States,USA,Elisa Au United States,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus60-kg,World Karate Championships Women Kumite +60 kg,women,Kumite +60 kg,2,silver,athlete,Zsuzsanna Klima,Hungary,HUN,Zsuzsanna Klima Hungary,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus60-kg,World Karate Championships Women Kumite +60 kg,women,Kumite +60 kg,3,bronze,athlete,Lucélia Ribeiro,Brazil,BRA,Lucélia Ribeiro Brazil,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,kumite-plus60-kg,World Karate Championships Women Kumite +60 kg,women,Kumite +60 kg,3,bronze,athlete,Laurence Fischer,France,FRA,Laurence Fischer France,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
