event_id,participant_id,rank,medal,score_raw,points_awarded
world_athletics_championships_2001_women_5000-m,athlete_Marta_Domínguez_ESP,2,silver,discipline=5000 m;performance=15:06.59;country=ESP,2.0
world_athletics_championships_2001_women_800-m,athlete_Letitia_Vriesde_SUR,3,bronze,discipline=800 m;performance=1:57.35 (SB);country=SUR,1.0
world_athletics_championships_2001_women_800-m,athlete_Maria_Mutola_MOZ,1,gold,discipline=800 m;performance=1:57.17;country=MOZ,3.0
world_athletics_championships_2001_women_800-m,athlete_Stephanie_Graf_AUT,2,silver,discipline=800 m;performance=1:57.20 (SB);country=AUT,2.0
world_athletics_championships_2001_women_discus-throw,athlete_Anastasia_Kelesidou_GRC,3,bronze,discipline=Discus throw;performance=65.50 (SB);country=GRC,1.0
world_athletics_championships_2001_women_discus-throw,athlete_Ellina_Zvereva_BLR,1,gold,discipline=Discus throw;performance=67.10 1;country=BLR,3.0
world_athletics_championships_2001_women_discus-throw,athlete_Nicoleta_Grasu_ROU,2,silver,discipline=Discus throw;performance=66.24;country=ROU,2.0
world_athletics_championships_2001_women_hammer-throw,athlete_Bronwyn_Eagles_AUS,3,bronze,discipline=Hammer throw;performance=68.87;country=AUS,1.0
world_athletics_championships_2001_women_hammer-throw,athlete_Yipsi_Moreno_CUB,1,gold,discipline=Hammer throw;performance=70.65 (AR);country=CUB,3.0
world_athletics_championships_2001_women_heptathlon,athlete_Natallia_Sazanovich_BLR,2,silver,discipline=Heptathlon;performance=6539 (SB);country=BLR,2.0
world_athletics_championships_2001_women_heptathlon,athlete_Shelia_Burrell_USA,3,bronze,discipline=Heptathlon;performance=6472 (PB);country=USA,1.0
world_athletics_championships_2001_women_high-jump,athlete_Hestrie_Cloete_ZAF,1,gold,discipline=High jump;performance=2.00 (SB);country=ZAF,3.0
world_athletics_championships_2001_women_high-jump,athlete_Inha_Babakova_UKR,2,silver,discipline=High jump;performance=2.00;country=UKR,2.0
world_athletics_championships_2001_women_high-jump,athlete_Kajsa_Bergqvist_SWE,3,bronze,discipline=High jump;performance=1.97;country=SWE,1.0
world_athletics_championships_2001_women_javelin-throw,athlete_Mirela_Maniani_GRC,2,silver,discipline=Javelin throw;performance=65.78;country=GRC,2.0
world_athletics_championships_2001_women_javelin-throw,athlete_Osleidys_Menéndez_CUB,1,gold,discipline=Javelin throw;performance=69.53 ( CR );country=CUB,3.0
world_athletics_championships_2001_women_javelin-throw,athlete_Sonia_Bisset_CUB,3,bronze,discipline=Javelin throw;performance=64.69;country=CUB,1.0
world_athletics_championships_2001_women_long-jump,athlete_Fiona_May_ITA,1,gold,discipline=Long jump;performance=7.02;country=ITA,3.0
world_athletics_championships_2001_women_long-jump,athlete_Niurka_Montalvo_ESP,3,bronze,discipline=Long jump;performance=6.88;country=ESP,1.0
