event_id,participant_id,rank,medal,score_raw,points_awarded
world_triathlon_championship_series_2016_women,triathlon_athlete_Gwen_Jorgensen_USA,2,silver,points=4435;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2016_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2016_women,triathlon_athlete_Ai_Ueda_JPN,3,bronze,points=3616;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2016_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2017_men,triathlon_athlete_Mario_Mola_ESP,1,gold,points=4728;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2017_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2017_men,triathlon_athlete_Javier_Gomez_ESP,2,silver,points=4311;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2017_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2017_men,triathlon_athlete_Kristian_Blummenfelt_NOR,3,bronze,points=4281;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2017_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2017_women,triathlon_athlete_Flora_Duffy_BMU,1,gold,points=5200;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2017_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2017_women,triathlon_athlete_Ashleigh_Gentle_AUS,2,silver,points=4320;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2017_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2017_women,triathlon_athlete_Katie_Zaferes_USA,3,bronze,points=4302;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2017_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2018_men,triathlon_athlete_Mario_Mola_ESP,1,gold,points=6081;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2018_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2018_men,triathlon_athlete_Vincent_Luis_FRA,2,silver,points=5060;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2018_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2018_men,triathlon_athlete_Jacob_Birtwhistle_AUS,3,bronze,points=4884;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2018_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2018_women,triathlon_athlete_Vicky_Holland_GBR,1,gold,points=5540;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2018_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2018_women,triathlon_athlete_Katie_Zaferes_USA,2,silver,points=5488;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2018_ITU_World_Triathlon_Series,7.0
