competition_id,competition_name,year,event_date,discipline_key,discipline_name,weight_class,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Welterweight,Welterweight,women,3,bronze,athlete,Hanna Vasylenko,Ukraine,UKR,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_freestyle,World Wrestling Championships (Freestyle),2009,2009-12-31,wrestling-freestyle,Wrestling Freestyle,Welterweight,Welterweight,women,3,bronze,athlete,Marianna Sastin,Hungary,HUN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(women)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Bantamweight,Bantamweight,men,1,gold,athlete,Hamid Sourian,Iran,IRI,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Bantamweight,Bantamweight,men,2,silver,athlete,Roman Amoyan,Armenia,ARM,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Bantamweight,Bantamweight,men,3,bronze,athlete,Håkan Nyblom,DEN,DEN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Bantamweight,Bantamweight,men,3,bronze,athlete,Rovshan Bayramov,Azerbaijan,AZE,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Featherweight,Featherweight,men,1,gold,athlete,Islambek Albiev,Russian Federation,RUS,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Featherweight,Featherweight,men,2,silver,athlete,Dilshod Aripov,Uzbekistan,UZB,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Featherweight,Featherweight,men,3,bronze,athlete,Nurbakyt Tengizbayev,Kazakhstan,KAZ,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Featherweight,Featherweight,men,3,bronze,athlete,Vitaliy Rahimov,Azerbaijan,AZE,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Heavyweight,Heavyweight,men,1,gold,athlete,Balázs Kiss,Hungary,HUN,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Heavyweight,Heavyweight,men,2,silver,athlete,Jimmy Lidberg,Sweden,SWE,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Heavyweight,Heavyweight,men,3,bronze,athlete,Amir Aliakbari,Iran,IRI,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
world_wrestling_championships_greco_roman,World Wrestling Championships (Greco-Roman),2009,2009-12-31,wrestling-greco-roman,Wrestling Greco-Roman,Heavyweight,Heavyweight,men,3,bronze,athlete,Aslanbek Khushtov,Russian Federation,RUS,https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(Greco-Roman)
