year,event_date,gender,discipline_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance
2001,2001-12-31,men,Javelin throw,2,silver,athlete,Aki Parviainen,Finland,FIN,91.31
2001,2001-12-31,men,Javelin throw,3,bronze,athlete,Konstadinos Gatsioudis,Greece,GRC,89.95
2001,2001-12-31,men,Long jump,1,gold,athlete,Iván Pedroso,Cuba,CUB,8.40
2001,2001-12-31,men,Long jump,2,silver,athlete,Savanté Stringfellow,United States,USA,8.24
2001,2001-12-31,men,Long jump,3,bronze,athlete,Carlos Calado,Portugal,PRT,8.21 (SB)
2001,2001-12-31,men,Marathon,1,gold,athlete,Gezahegne Abera,Ethiopia,ETH,2:12:42 (SB)
2001,2001-12-31,men,Marathon,2,silver,athlete,Simon Biwott,Kenya,KEN,2:12:43
2001,2001-12-31,men,Marathon,3,bronze,athlete,Stefano Baldini,Italy,ITA,2:13:18
2001,2001-12-31,men,Pole vault,1,gold,athlete,Dmitri Markov,Australia,AUS,6.05 ( CR )
2001,2001-12-31,men,Pole vault,2,silver,athlete,Aleksandr Averbukh,Israel,ISR,5.85
2001,2001-12-31,men,Pole vault,3,bronze,athlete,Nick Hysong,United States,USA,5.85 (SB)
2001,2001-12-31,men,Shot put,1,gold,athlete,John Godina,United States,USA,21.87
2001,2001-12-31,men,Shot put,2,silver,athlete,Adam Nelson,United States,USA,21.24
2001,2001-12-31,men,Shot put,3,bronze,athlete,Arsi Harju,Finland,FIN,20.93 (SB)
2001,2001-12-31,men,Triple jump,1,gold,athlete,Jonathan Edwards,Great Britain and Northern Ireland,GBR,17.92 (WL)
2001,2001-12-31,men,Triple jump,2,silver,athlete,Christian Olsson,Sweden,SWE,17.47
2001,2001-12-31,women,"10,000 m",1,gold,athlete,Derartu Tulu,Ethiopia,ETH,31:48.81
2001,2001-12-31,women,"10,000 m",2,silver,athlete,Berhane Adere,Ethiopia,ETH,31:48.85
2001,2001-12-31,women,"10,000 m",3,bronze,athlete,Gete Wami,Ethiopia,ETH,31:49.98
2001,2001-12-31,women,100 m,1,gold,athlete,Zhanna Pintusevich,Ukraine,UKR,10.82 (WL)
2001,2001-12-31,women,100 m,2,silver,athlete,Ekaterini Thanou,Greece,GRC,10.91 2 (SB)
2001,2001-12-31,women,100 m,3,bronze,athlete,Chandra Sturrup,Bahamas,BHS,11.02
2001,2001-12-31,women,100 m hurdles,1,gold,athlete,Anjanette Kirkland,United States,USA,12.42 (WL)
2001,2001-12-31,women,100 m hurdles,2,silver,athlete,Gail Devers,United States,USA,12.54 SB
