participant_id,type,display_name,country_id
team_Pavol_Hochschorner__Peter_Hochschorner__Milan_Kubá__Marián_Olejník__ubo_oka__Peter_oka_SVK,team,Pavol Hochschorner / Peter Hochschorner / Milan Kubáň / Marián Olejník / Ľuboš Šoška / Peter Šoška,SVK
athlete_Julien_Billaut_FRA,athlete,Julien Billaut,FRA
athlete_Stefano_Cipressi_ITA,athlete,Stefano Cipressi,ITA
athlete_Campbell_Walsh_GBR,athlete,Campbell Walsh,GBR
team_Fabien_Lefèvre__Julien_Billaut__Boris_Neveu_FRA,team,Fabien Lefèvre / Julien Billaut / Boris Neveu,FRA
team_Daniele_Molmenti__Stefano_Cipressi__Diego_Paolini_ITA,team,Daniele Molmenti / Stefano Cipressi / Diego Paolini,ITA
team_Grzegorz_Polaczyk__Mateusz_Polaczyk__Dariusz_Popiela_POL,team,Grzegorz Polaczyk / Mateusz Polaczyk / Dariusz Popiela,POL
athlete_Jana_Dukátová_SVK,athlete,Jana Dukátová,SVK
athlete_Fiona_Pennie_GBR,athlete,Fiona Pennie,GBR
team_Mathilde_Pichery__Émilie_Fer__Marie_Gaspard_FRA,team,Mathilde Pichery / Émilie Fer / Marie Gaspard,FRA
team_tpánka_Hilgertová__Irena_Pavelková__Marie_ihoková_CZE,team,Štěpánka Hilgertová / Irena Pavelková / Marie Řihošková,CZE
team_Jennifer_Bongardt__Claudia_Bär__Jasmin_Schornberg_DEU,team,Jennifer Bongardt / Claudia Bär / Jasmin Schornberg,DEU
team_Tony_Estanguet__Pierre_Labarelle__Nicolas_Peschier_FRA,team,Tony Estanguet / Pierre Labarelle / Nicolas Peschier,FRA
team_Jan_Benzien__Nico_Bettge__Lukas_Hoffmann_DEU,team,Jan Benzien / Nico Bettge / Lukas Hoffmann,DEU
team_Stanislav_Jeek__Tomá_Indruch__Jan_Maek_CZE,team,Stanislav Ježek / Tomáš Indruch / Jan Mašek,CZE
team_Andrea_Benetti__Erik_Masoero_ITA,team,Andrea Benetti / Erik Masoero,ITA
team_Jaroslav_Volf__Ondej_tpánek__Marek_Jiras__Tomá_Máder__Jaroslav_Pospíil__David_Mrzek_CZE,team,Jaroslav Volf / Ondřej Štěpánek / Marek Jiras / Tomáš Máder / Jaroslav Pospíšil / David Mrůzek,CZE
team_Cédric_Forgit__Martin_Braud__Pierre_Luquet__Christophe_Luquet__Damien_Troquenet__Mathieu_Voyemant_FRA,team,Cédric Forgit / Martin Braud / Pierre Luquet / Christophe Luquet / Damien Troquenet / Mathieu Voyemant,FRA
team_Pavol_Hochschorner__Peter_Hochschorner__Ladislav_kantár__Peter_kantár__Tomá_Kuera__Ján_Bátik_SVK,team,Pavol Hochschorner / Peter Hochschorner / Ladislav Škantár / Peter Škantár / Tomáš Kučera / Ján Bátik,SVK
athlete_Sébastien_Combot_FRA,athlete,Sébastien Combot,FRA
