year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,women,open water swimming,Women's 10 km,1,gold,athlete,Peggy Büchse,GER,GER,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 10 km,2,silver,athlete,Irina Abysova,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 10 km,3,bronze,athlete,Edith van Dijk,NED,NED,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 25 km,1,gold,athlete,Viola Valli,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 25 km,2,silver,athlete,Edith van Dijk,NED,NED,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 25 km,3,bronze,athlete,Angela Maurer,GER,GER,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 5 km,1,gold,athlete,Viola Valli,Italy,ITA,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 5 km,2,silver,athlete,Peggy Büchse,GER,GER,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,open water swimming,Women's 5 km,3,bronze,athlete,Hayley Lewis,Australia,AUS,,https://en.wikipedia.org/wiki/Open_water_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m backstroke,1,gold,athlete,Matt Welsh,Australia,AUS,54.31 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m backstroke,2,silver,athlete,Örn Arnarson,Iceland,ISL,54.75,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m backstroke,3,bronze,athlete,Steffen Driesen,GER,GER,54.91,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m breaststroke,1,gold,athlete,Roman Sloudnov,Russian Federation,RUS,1:00.16,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m breaststroke,2,silver,athlete,Domenico Fioravanti,Italy,ITA,1:00.47,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m breaststroke,3,bronze,athlete,Ed Moses,United States,USA,1:00.61,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m butterfly,1,gold,athlete,Lars Frölander,Sweden,SWE,52.10 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m butterfly,2,silver,athlete,Ian Crocker,United States,USA,52.25 AM,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m butterfly,3,bronze,athlete,Geoff Huegill,Australia,AUS,52.36,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m freestyle,1,gold,athlete,Anthony Ervin,United States,USA,"48.33 CR, AM",https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m freestyle,2,silver,athlete,Pieter van den Hoogenband,NED,NED,48.43,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 100 m freestyle,3,bronze,athlete,Lars Frölander,Sweden,SWE,48.79,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
