competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_judo_championships,World Judo Championships,2015,2015-12-31,judo-women-plus-78-kg,Judo Women +78 kg,Heavyweight (+78 kg),women,3,bronze,athlete,Idalys Ortiz,Cuba,CUB,https://en.wikipedia.org/wiki/2015_World_Judo_Championships
world_judo_championships,World Judo Championships,2015,2015-12-31,judo-women-plus-78-kg,Judo Women +78 kg,Heavyweight (+78 kg),women,3,bronze,athlete,Kanae Yamabe,Japan,JPN,https://en.wikipedia.org/wiki/2015_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,1,gold,athlete,Aaron Wolf,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,2,silver,athlete,Varlam Liparteliani,Georgia,GEO,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,3,bronze,athlete,Elmar Gasimov,Azerbaijan,AZE,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,3,bronze,athlete,Kirill Denisov,Russian Federation,RUS,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,1,gold,athlete,Naohisa Takato,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,2,silver,athlete,Orkhan Safarov,Azerbaijan,AZE,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,3,bronze,athlete,Boldbaatar Ganbat,Mongolia,MNG,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,3,bronze,athlete,Diyorbek Urozboev,Uzbekistan,UZB,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-66-kg,Judo Men -66 kg,Half-lightweight (-66 kg),men,1,gold,athlete,Hifumi Abe,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-66-kg,Judo Men -66 kg,Half-lightweight (-66 kg),men,2,silver,athlete,Mikhail Pulyaev,Russian Federation,RUS,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-66-kg,Judo Men -66 kg,Half-lightweight (-66 kg),men,3,bronze,athlete,Tal Flicker,Israel,ISR,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-66-kg,Judo Men -66 kg,Half-lightweight (-66 kg),men,3,bronze,athlete,Vazha Margvelashvili,Georgia,GEO,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-73-kg,Judo Men -73 kg,Lightweight (-73 kg),men,1,gold,athlete,Soichi Hashimoto,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-73-kg,Judo Men -73 kg,Lightweight (-73 kg),men,2,silver,athlete,Rustam Orujov,Azerbaijan,AZE,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-73-kg,Judo Men -73 kg,Lightweight (-73 kg),men,3,bronze,athlete,An Chang-rim,"Korea, Republic of",KOR,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-73-kg,Judo Men -73 kg,Lightweight (-73 kg),men,3,bronze,athlete,Odbayar Ganbaatar,Mongolia,MNG,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-81-kg,Judo Men -81 kg,Half-middleweight (-81 kg),men,1,gold,athlete,Alexander Wieczerzak,Germany,DEU,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-81-kg,Judo Men -81 kg,Half-middleweight (-81 kg),men,2,silver,athlete,Matteo Marconcini,Italy,ITA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-81-kg,Judo Men -81 kg,Half-middleweight (-81 kg),men,3,bronze,athlete,Khasan Khalmurzaev,Russian Federation,RUS,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-81-kg,Judo Men -81 kg,Half-middleweight (-81 kg),men,3,bronze,athlete,Saeid Mollaei,"Iran, Islamic Republic of",IRN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-90-kg,Judo Men -90 kg,Middleweight (-90 kg),men,1,gold,athlete,Nemanja Majdov,Serbia,SRB,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-90-kg,Judo Men -90 kg,Middleweight (-90 kg),men,2,silver,athlete,Mihael Žgank,Slovenia,SVN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-90-kg,Judo Men -90 kg,Middleweight (-90 kg),men,3,bronze,athlete,Gwak Dong-han,"Korea, Republic of",KOR,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-minus-90-kg,Judo Men -90 kg,Middleweight (-90 kg),men,3,bronze,athlete,Ushangi Margiani,Georgia,GEO,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-plus-100-kg,Judo Men +100 kg,Heavyweight (+100 kg),men,1,gold,athlete,Teddy Riner,France,FRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
