competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,participant_type,participant_name,country_name,country_code,source_url
bwf_uber_cup,BWF Uber Cup,2014,2014-12-31,badminton-team,Badminton Team,women,2,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2014,2014-12-31,badminton-team,Badminton Team,women,3,team,India,India,IND,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2014,2014-12-31,badminton-team,Badminton Team,women,3,team,South Korea,South Korea,KOR,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2016,2016-12-31,badminton-team,Badminton Team,women,1,team,China,China,CHN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2016,2016-12-31,badminton-team,Badminton Team,women,2,team,South Korea,South Korea,KOR,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2016,2016-12-31,badminton-team,Badminton Team,women,3,team,India,India,IND,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2016,2016-12-31,badminton-team,Badminton Team,women,3,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2018,2018-12-31,badminton-team,Badminton Team,women,1,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2018,2018-12-31,badminton-team,Badminton Team,women,2,team,Thailand,Thailand,THA,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2018,2018-12-31,badminton-team,Badminton Team,women,3,team,China,China,CHN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2018,2018-12-31,badminton-team,Badminton Team,women,3,team,South Korea,South Korea,KOR,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2020,2020-12-31,badminton-team,Badminton Team,women,1,team,China,China,CHN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2020,2020-12-31,badminton-team,Badminton Team,women,2,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2020,2020-12-31,badminton-team,Badminton Team,women,3,team,South Korea,South Korea,KOR,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2020,2020-12-31,badminton-team,Badminton Team,women,3,team,Thailand,Thailand,THA,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2022,2022-12-31,badminton-team,Badminton Team,women,1,team,South Korea,South Korea,KOR,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2022,2022-12-31,badminton-team,Badminton Team,women,2,team,China,China,CHN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2022,2022-12-31,badminton-team,Badminton Team,women,3,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2022,2022-12-31,badminton-team,Badminton Team,women,3,team,Thailand,Thailand,THA,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2024,2024-12-31,badminton-team,Badminton Team,women,1,team,China,China,CHN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2024,2024-12-31,badminton-team,Badminton Team,women,2,team,Indonesia,Indonesia,IDN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2024,2024-12-31,badminton-team,Badminton Team,women,3,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/Uber_Cup
bwf_uber_cup,BWF Uber Cup,2024,2024-12-31,badminton-team,Badminton Team,women,3,team,South Korea,South Korea,KOR,https://en.wikipedia.org/wiki/Uber_Cup
