competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-scratch,Track Scratch,men,2,silver,athlete,Tony Gibb,United Kingdom,GBR,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-scratch,Track Scratch,men,3,bronze,athlete,Stefan Steinweg,Germany,DEU,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-sprint,Track Sprint,men,1,gold,athlete,Sean Eadie,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-sprint,Track Sprint,men,2,silver,athlete,Jobie Dajka,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-sprint,Track Sprint,men,3,bronze,athlete,Florian Rousseau,France,FRA,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-team-pursuit,Track Team Pursuit,men,1,gold,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-team-pursuit,Track Team Pursuit,men,2,silver,team,Germany,Germany,DEU,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-team-pursuit,Track Team Pursuit,men,3,bronze,team,United Kingdom,United Kingdom,GBR,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-team-sprint,Track Team Sprint,men,1,gold,team,United Kingdom,United Kingdom,GBR,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-team-sprint,Track Team Sprint,men,2,silver,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-team-sprint,Track Team Sprint,men,3,bronze,team,Germany,Germany,DEU,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-time-trial-1km,Track 1 km Time Trial,men,1,gold,athlete,Chris Hoy,United Kingdom,GBR,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-time-trial-1km,Track 1 km Time Trial,men,2,silver,athlete,Arnaud Tournant,France,FRA,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-time-trial-1km,Track 1 km Time Trial,men,3,bronze,athlete,Shane Kelly,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-individual-pursuit,Track Individual Pursuit,women,1,gold,athlete,Leontien Zijlaard-van Moorsel,Netherlands,NLD,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-individual-pursuit,Track Individual Pursuit,women,2,silver,athlete,Olga Sliusareva,Russian Federation,RUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-individual-pursuit,Track Individual Pursuit,women,3,bronze,athlete,Katherine Bates,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-keirin,Track Keirin,women,1,gold,athlete,Li Na,China,CHN,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-keirin,Track Keirin,women,2,silver,athlete,Clara Sanchez,France,FRA,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-keirin,Track Keirin,women,3,bronze,athlete,Rosealee Hubbard,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-points-race,Track Points Race,women,1,gold,athlete,Olga Sliusareva,Russian Federation,RUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-points-race,Track Points Race,women,2,silver,athlete,Lada Kozlíková,Czechia,CZE,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-points-race,Track Points Race,women,3,bronze,athlete,Vera Carrara,Italy,ITA,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-scratch,Track Scratch,women,1,gold,athlete,Lada Kozlíková,Czechia,CZE,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-scratch,Track Scratch,women,2,silver,athlete,Rochelle Gilmore,Australia,AUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2002,2002-12-31,track-scratch,Track Scratch,women,3,bronze,athlete,Olga Sliusareva,Russian Federation,RUS,https://en.wikipedia.org/wiki/2002_UCI_Track_Cycling_World_Championships
