competition_id,competition_name,year,event_date,discipline_id,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,score_raw,source_url
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1,K1,women,3,bronze,athlete,Rebecca Giddens,United States,USA,228.10,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1-team,K1 team,women,1,gold,team,Štěpánka Hilgertová / Vanda Semerádová / Irena Pavelková,Czechia,CZE,251.76,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1-team,K1 team,women,2,silver,team,Jennifer Bongardt / Claudia Bär / Mandy Planert,Germany,DEU,253.84,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2003,2003-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_women_k1-team,K1 team,women,3,bronze,team,Helen Reeves / Heather Corrie / Laura Blakeman,United Kingdom,GBR,256.35,https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2005,2005-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1,C1,men,1,gold,athlete,Robin Bell,Australia,AUS,209.26,https://en.wikipedia.org/wiki/2005_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2005,2005-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1,C1,men,2,silver,athlete,Tony Estanguet,France,FRA,209.47,https://en.wikipedia.org/wiki/2005_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2005,2005-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1,C1,men,3,bronze,athlete,Michal Martikán,Slovakia,SVK,210.64,https://en.wikipedia.org/wiki/2005_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2005,2005-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1-team,C1 team,men,1,gold,team,Olivier Lalliet / Pierre Labarelle / Tony Estanguet,France,FRA,229.47,https://en.wikipedia.org/wiki/2005_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2005,2005-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1-team,C1 team,men,2,silver,team,Nico Bettge / Stefan Pfannmöller / Jan Benzien,Germany,DEU,229.90,https://en.wikipedia.org/wiki/2005_ICF_Canoe_Slalom_World_Championships
icf_canoe_slalom_world_championships,ICF Canoe Slalom World Championships,2005,2005-12-31,canoe-slalom,Canoe Slalom,slalom_world_championships_men_c1-team,C1 team,men,3,bronze,team,Tomáš Indruch / Jan Mašek / Stanislav Ježek,Czechia,CZE,235.10,https://en.wikipedia.org/wiki/2005_ICF_Canoe_Slalom_World_Championships
